AT1G08910.1	A0A0A7EPL0-2
AT5G13710.1	Q9LM02
AT5G13710.2	Q9LM02
AT1G22190.1	Q9LM15
AT1G18260.1	Q9LM25
AT1G20823.1	Q9LM69
AT1G20810.1	Q9LM71
AT1G20580.1	Q9LM92
At1g19090	Q9LMB9
AT1G22280.1	Q9LME4-1
AT1G22280.2	Q9LME4-2
AT1G22310.1	Q9LME6-2
AT1G22310.2	Q9LME6-1
AT1G07130.1	Q9LMK5
AT1G07250.1	Q9LML6
AT1G01610.1	Q9LMM0
AT1G01600.1	Q9LMM1
AT1G01590.1	Q9LMM2
AT1G01530.1	Q9LMM8
AT1G21190.1	Q9LMN4
AT1G15820.1	Q9LMQ2
AT1G15710.1	Q9LMR3
AT1G18140.1	Q9LMS3
AT1G17910.1	Q9LMT9
AT1G17860.1	Q9LMU2
AT1G13740.1	Q9LMX5
AT1G08100.1	Q9LMZ9
AT1G08070.1	Q9LN01
AT1G20270.1	Q9LN20
AT1G19360.1	Q9LN62
AT1G19360.2	Q9LN62
AT1G06230.1	Q9LNC4
AT1G06230.2	Q9LNC4
AT1G06230.3	Q9LNC4
AT1G06230.4	Q9LNC4
AT1G06210.1	Q9LNC6-1
AT1G06210.2	Q9LNC6-2
AT1G06180.1	Q9LNC9
AT1G06170.1	Q9LND0
AT1G06170.2	Q9LND0
AT1G48020.1	Q9LNF2
AT1G48120.1	Q9LNG5
AT1G01200.1	Q9LNK1
AT1G34510.1	Q9LNL0
AT1G17500.1	Q9LNQ4
AT1G17500.2	Q9LNQ4
AT1G20200.1	Q9LNU4
AT1G07340.1	Q9LNV3
AT1G07390.2	Q9LNV9-2
AT1G07390.4	Q9LNV9-1
AT1G07400.1	Q9LNW0
AT1G07410.1	Q9LNW1
AT1G29150.1	Q9LP45
AT1G29150.2	Q9LP45
AT1G29170.1	Q9LP46-1
AT1G29230.1	Q9LP51
AT1G01980.1	Q9LPC3
AT1G01960.1	Q9LPC5
AT1G44830.1	Q9LPE8
AT1G44800.1	Q9LPF1
AT1G32770.1	Q9LPI7
AT1G21400.1	Q9LPL5
AT1G50420.1	Q9LPR8
AT1G21070.1	Q9LPU2
AT1G21100.1	Q9LPU5
AT1G21140.1	Q9LPU9
AT1G12940.1	Q9LPV5
AT1G12910.1	Q9LPV9
AT1G11410.1	Q9LPZ3
AT1G69260.1	Q9LQ98
AT1G23490.1	Q9LQC8
AT1G70490.1	Q9LQC8
AT1G70490.2	Q9LQC8
AT1G70490.3	Q9LQC8
AT1G70490.4	Q9LQC8
AT1G70490.5	Q9LQC8
AT1G70490.6	Q9LQC8
AT1G70490.7	Q9LQC8
AT1G32500.1	Q9LQK7
AT1G32470.1	Q9LQL0
AT1G32330.1	Q9LQM7
AT1G32320.1	Q9LQM8
AT1G07630.1	Q9LQN6
AT1G07870.1	Q9LQQ8-1
AT1G75990.1	Q9LQR8
AT1G14880.1	Q9LQU2
AT1G14870.1	Q9LQU4
AT1G14790.1	Q9LQV2
AT1G26690.1	Q9LQY3
AT1G23290.1	Q9LR33
AT1G03590.1	Q9LR65
At1g03495	Q9LR73
AT5G23450.1	Q9LRB0-1
AT5G23450.2	Q9LRB0-1
AT5G23450.5	Q9LRB0-1
AT1G24400.1	Q9LRB5
AT3G21890.1	Q9LRM4
AT3G17420.1	Q9LRP3
AT3G15580.1	Q9LRP7
AT3G28150.1	Q9LRS2
AT3G28040.1	Q9LRT1
AT3G24810.1	Q9LRY0
AT3G24790.2	Q9LRY1
AT3G16800.1	Q9LRZ4-1
AT3G16800.2	Q9LRZ4-1
AT3G16800.3	Q9LRZ4-1
AT3G25770.1	Q9LS02
AT3G25760.1	Q9LS03
AT3G18500.1	Q9LS39-2
AT3G18500.2	Q9LS39-1
AT3G18440.1	Q9LS46
AT3G18810.1	Q9LS95
AT3G18710.1	Q9LSA6
AT3G15920.1	Q9LSB9
AT5G65640.1	Q9LSL1-1
AT5G65640.2	Q9LSL1-2
AT5G65590.1	Q9LSL6
AT3G17100.1	Q9LSN7
AT3G17100.2	Q9LSN7
AT3G17070.1	Q9LSP0
AT3G16890.1	Q9LSQ2
AT5G54510.1	Q9LSQ4
AT5G65060.1	Q9LSR7
AT3G25490.1	Q9LSV3
AT5G43410.1	Q9LSX0
AT5G43320.1	Q9LSX4
AT3G21850.1	Q9LSX9
AT3G21710.1	Q9LSZ3-2
AT3G21710.2	Q9LSZ3-1
AT5G23540.1	Q9LT08-1
AT3G19860.1	Q9LT23-2
AT3G19860.2	Q9LT23-1
AT3G19840.1	Q9LT25
AT3G20860.1	Q9LT35
AT3G20830.1	Q9LT38
AT3G19490.1	Q9LT68
AT5G51890.1	Q9LT91
AT5G51870.1	Q9LT93-1
AT5G49810.1	Q9LTB2
AT5G47070.1	Q9LTC0
AT3G23210.1	Q9LTC7
AT5G52600.1	Q9LTF7
AT5G52570.1	Q9LTG0-1
AT5G52570.2	Q9LTG0-2
AT5G59570.1	Q9LTH4
AT5G59570.2	Q9LTH4
AT5G52200.1	Q9LTK0-1
AT3G20470.1	Q9LTP5
AT5G56940.1	Q9LTS6
AT3G12820.1	Q9LTV4
AT3G12740.1	Q9LTW0
AT3G27440.1	Q9LTY6
AT5G44670.1	Q9LTZ9
AT5G44580.1	Q9LU08
AT3G16360.1	Q9LU15-1
AT3G16250.1	Q9LU21
At5g51270	Q9LU47
At5g51270	Q9LU47
AT5G57180.2	Q9LU68-1
AT3G26020.1	Q9LU89-1
AT3G26020.2	Q9LU89-1
AT3G26020.5	Q9LU89-1
AT3G26020.6	Q9LU89-1
AT3G25882.1	Q9LUA3
AT5G48170.1	Q9LUB6
AT3G14720.1	Q9LUC3
AT5G50750.1	Q9LUE6
AT3G23590.1	Q9LUG9
AT3G23560.1	Q9LUH2
AT3G22830.1	Q9LUH8
AT3G22820.1	Q9LUH9
AT3G22660.1	Q9LUJ5
AT3G22640.1	Q9LUJ7
AT5G46830.1	Q9LUK7
AT3G14300.1	Q9LUL8
AT3G16570.1	Q9LUS7
AT3G16570.2	Q9LUS7
AT3G16570.3	Q9LUS7
AT3G17220.1	Q9LUV1
AT3G17210.1	Q9LUV2
AT3G17210.2	Q9LUV2
AT3G22330.1	Q9LUW5
At5g58550	Q9LV01
AT5G53450.1	Q9LV04-1
AT5G53450.2	Q9LV04-2
AT5G62680.1	Q9LV10
AT5G62670.1	Q9LV11
AT5G62640.1	Q9LV14-1
AT5G62640.2	Q9LV14-2
AT5G62610.1	Q9LV17
AT5G62610.2	Q9LV17
AT3G18090.1	Q9LV32-2
AT3G18040.1	Q9LV37-1
AT3G24620.1	Q9LV40
AT3G24520.1	Q9LV52
AT5G48400.1	Q9LV72-2
AT5G48400.2	Q9LV72-1
AT5G64860.1	Q9LV91
AT5G64800.1	Q9LV97
AT5G57320.1	Q9LVC6
AT5G57320.2	Q9LVC6
AT3G21520.1	Q9LVF4
AT3G17970.1	Q9LVH5
AT3G14067.1	Q9LVJ1
AT3G14050.1	Q9LVJ3
AT3G13900.1	Q9LVK9
AT5G58400.1	Q9LVL1
AT5G58390.1	Q9LVL2
AT5G58350.1	Q9LVL5
AT5G58250.1	Q9LVM3
AT5G58180.1	Q9LVM9
AT5G58180.2	Q9LVM9
AT5G63960.1	Q9LVN7-1
AT5G63930.1	Q9LVP0
AT5G66700.1	Q9LVR0
AT5G54060.1	Q9LVW3
At3g27720	Q9LVW9
At3g27720	Q9LVW9
At3g27720	Q9LVW9
AT3G27710.1	Q9LVX0
AT5G36160.1	Q9LVY1
AT3G15840.1	Q9LVZ5-1
AT3G15820.1	Q9LVZ7
AT3G15640.1	Q9LW15-1
AT3G23410.1	Q9LW56
AT3G23340.1	Q9LW62
AT3G23290.2	Q9LW68
AT3G16090.1	Q9LW77
AT3G16000.1	Q9LW85
AT5G10170.1	Q9LX12
AT3G59400.1	Q9LX31
AT3G59370.1	Q9LX34
AT3G59220.1	Q9LX49
AT3G46130.2	Q9LX82-2
AT3G46130.3	Q9LX82-3
AT5G10350.1	Q9LX90-1
AT5G10350.2	Q9LX90-3
AT5G09530.1	Q9LXB8
AT5G09680.1	Q9LXD1
AT5G09680.2	Q9LXD1
AT5G09760.1	Q9LXD9
AT5G15380.1	Q9LXE5
AT5G15290.1	Q9LXF3
AT5G15200.1	Q9LXG1-1
AT5G15180.1	Q9LXG3
AT3G43190.1	Q9LXL5
AT3G43190.2	Q9LXL5
AT3G44290.1	Q9LXL9
AT3G44260.1	Q9LXM2
AT3G44540.1	Q9LXN3-1
AT3G58750.1	Q9LXS6
AT3G58680.1	Q9LXT3
AT5G12990.1	Q9LXU0
AT3G43960.1	Q9LXW3
AT5G07540.1	Q9LY08-1
AT5G07470.1	Q9LY14
AT5G07410.1	Q9LY19
AT5G07310.1	Q9LY29
AT3G60330.1	Q9LY32
AT3G60330.2	Q9LY32
AT3G60220.1	Q9LY41
AT3G55940.1	Q9LY51-1
AT3G63490.1	Q9LY66-1
AT3G63440.1	Q9LY71
AT3G63380.1	Q9LY77
AT5G14380.1	Q9LY91
AT3G63080.1	Q9LYB4
AT3G63030.1	Q9LYB9
AT3G62940.1	Q9LYC7-2
AT3G62940.2	Q9LYC7-1
AT3G62940.3	Q9LYC7-1
AT3G62940.4	Q9LYC7-1
AT3G62940.5	Q9LYC7-2
AT5G11740.1	Q9LYF6
AT5G12080.1	Q9LYG9
AT5G12080.2	Q9LYG9
AT5G12080.3	Q9LYG9
AT5G14570.1	Q9LYK2
AT5G14530.1	Q9LYK6
AT5G14520.1	Q9LYK7
AT5G07210.2	Q9LYP5
AT5G07070.1	Q9LYQ8
AT5G13410.1	Q9LYR5
AT3G59140.1	Q9LYS2
AT3G59010.1	Q9LYT5
AT5G03160.1	Q9LYW9
AT5G02570.1	Q9LZ45
AT5G04490.1	Q9LZ76
AT5G02400.1	Q9LZ86
At5g04050	Q9LZA5
AT5G03520.1	Q9LZD4-1
AT5G03520.2	Q9LZD4-2
AT5G03340.1	Q9LZF6
AT3G62700.1	Q9LZJ5
AT3G62680.1	Q9LZJ7
AT3G62670.1	Q9LZJ8
AT5G02070.1	Q9LZM4
AT5G02010.1	Q9LZN0
AT5G03790.1	Q9LZR0
AT3G45860.1	Q9LZU4
AT3G45810.1	Q9LZU9
AT3G60880.1	Q9LZX6-2
AT3G60880.2	Q9LZX6-1
AT3G60840.1	Q9LZY0
AT3G60630.1	Q9M000
AT5G01340.1	Q9M038
At5g01310	Q9M041
AT3G55770.1	Q9M047-1
AT3G55770.2	Q9M047-1
AT3G55770.3	Q9M047-1
AT3G55770.5	Q9M047-1
AT3G55770.7	Q9M047-2
AT4G32840.1	Q9M076
AT4G32640.1	Q9M081
AT4G32640.2	Q9M081
AT4G31140.1	Q9M088
AT4G30590.1	Q9M0A1
AT4G30560.1	Q9M0A4-1
AT4G30560.4	Q9M0A4-1
AT4G30550.1	Q9M0A5
AT4G30280.1	Q9M0D2
AT4G29230.1	Q9M0F8
AT4G29220.1	Q9M0F9
AT4G28280.1	Q9M0I0-2
AT4G28280.2	Q9M0I0-1
AT4G09030.1	Q9M0S4
AT4G09020.1	Q9M0S5
AT4G08470.1	Q9M0T3
AT4G05450.1	Q9M0V0
AT4G05450.2	Q9M0V0
AT4G05410.1	Q9M0V4
AT4G05390.1	Q9M0V6-1
AT4G05200.1	Q9M0X5
AT4G05120.1	Q9M0Y3
AT4G05120.2	Q9M0Y3
AT4G01460.1	Q9M128
AT4G01460.2	Q9M128
AT4G01060.1	Q9M157-2
AT4G01060.3	Q9M157-1
AT3G59530.1	Q9M1B4-1
AT3G59530.2	Q9M1B4-1
AT3G59530.3	Q9M1B4-1
AT3G60160.1	Q9M1C7
AT3G60130.1	Q9M1D0-1
AT3G45590.1	Q9M1E8
AT3G45590.2	Q9M1E8
AT3G45440.1	Q9M1G3
AT3G45440.3	Q9M1G3
AT3G45440.4	Q9M1G3
AT3G54590.3	Q9M1G9
AT3G57140.1	Q9M1I6
AT3G57140.2	Q9M1I6
AT3G57080.1	Q9M1J2
AT3G56930.1	Q9M1K5-1
AT3G62130.1	Q9M1R1
AT3G62130.2	Q9M1R1
AT3G54710.1	Q9M1S9
AT3G63370.1	Q9M1V3
AT3G63350.1	Q9M1V5
AT3G63250.1	Q9M1W4-1
AT3G63250.3	Q9M1W4-1
AT3G63190.1	Q9M1X0
AT3G63170.1	Q9M1X2
AT3G60020.1	Q9M1X4
AT3G59950.1	Q9M1Y0-1
AT3G59950.3	Q9M1Y0-2
AT3G59810.1	Q9M1Z3
AT3G59810.2	Q9M1Z3
AT3G59810.3	Q9M1Z3
AT3G59750.1	Q9M1Z9
AT3G60500.1	Q9M209
AT3G60500.2	Q9M209
AT3G60500.3	Q9M209
AT3G60400.1	Q9M219
AT3G43440.1	Q9M246-1
AT3G44340.1	Q9M291-1
AT3G44340.3	Q9M291-1
AT3G44340.4	Q9M291-1
AT3G42640.1	Q9M2A0
AT3G42830.1	Q9M2B0
AT3G61250.1	Q9M2D9
AT3G61220.1	Q9M2E2-1
AT3G61110.1	Q9M2F1
AT3G58120.1	Q9M2K4
AT3G58060.1	Q9M2P2
AT3G58060.2	Q9M2P2
AT3G57920.1	Q9M2Q6
AT3G55400.1	Q9M2T9-1
AT3G55370.1	Q9M2U1-1
AT3G55040.1	Q9M2W2
AT3G55030.1	Q9M2W3
AT3G49780.1	Q9M2Y0
AT3G49660.1	Q9M2Z2
AT3G48850.1	Q9M2Z8
AT3G61530.1	Q9M315
AT3G61530.2	Q9M315
AT3G54020.1	Q9M325
AT3G53840.1	Q9M342
AT3G53760.1	Q9M350
AT3G53720.1	Q9M353
AT3G61740.1	Q9M364-1
AT3G61730.1	Q9M365
AT3G61640.1	Q9M373
AT3G54300.1	Q9M376
AT3G54300.2	Q9M376
AT3G54300.3	Q9M376
AT3G49240.1	Q9M3A8
AT3G49200.1	Q9M3B2
AT3G55130.1	Q9M3D6
AT3G45420.1	Q9M3D7
AT2G27840.3	Q9M4T3-1
AT5G13910.1	Q9M644
AT3G57550.1	Q9M682-1
AT3G57550.3	Q9M682-1
AT2G38290.1	Q9M6N7-1
AT2G38290.2	Q9M6N7-2
AT5G43860.1	Q9M7I7
AT1G49720.1	Q9M7Q5-1
AT1G49720.3	Q9M7Q5-1
AT1G07370.1	Q9M7Q7
AT1G52240.1	Q9M811-1
AT1G52220.1	Q9M812-1
AT1G52220.2	Q9M812-2
AT1G52220.3	Q9M812-3
AT1G52190.1	Q9M817
AT3G02630.1	Q9M879
AT3G02620.1	Q9M880
AT3G02450.1	Q9M895
AT3G06190.1	Q9M8J9-1
AT3G06120.1	Q9M8K6
AT3G04280.1	Q9M8Y4
AT3G04280.2	Q9M8Y4
AT3G04280.3	Q9M8Y4
AT3G04290.1	Q9M8Y5
AT1G49190.1	Q9M9B9-1
AT1G15510.1	Q9M9E2
AT1G71696.2	Q9M9H7-1
At3g05870	Q9M9L0
AT3G05780.1	Q9M9L8
AT3G03050.1	Q9M9M4
AT3G03210.1	Q9M9N9
AT3G03260.1	Q9M9P4
AT1G14550.1	Q9M9Q9
AT1G14390.1	Q9M9S4
AT1G14280.1	Q9M9T4
AT1G18690.1	Q9M9U0
AT1G18690.2	Q9M9U0
AT1G18690.3	Q9M9U0
AT1G18690.4	Q9M9U0
AT1G18870.1	Q9M9V6-1
AT1G18880.1	Q9M9V7
At3g05540	Q9M9V9
At3g05540	Q9M9V9
At3g05540	Q9M9V9
At3g05540	Q9M9V9
At3g05540	Q9M9V9
AT3G05620.1	Q9M9W7
AT3G05640.1	Q9M9W9
AT3G05640.2	Q9M9W9
AT3G05640.3	Q9M9W9
AT1G06780.1	Q9M9Y5-1
AT1G06820.1	Q9M9Y8
AT3G05270.1	Q9MA92
AT3G05270.2	Q9MA92
AT3G05270.3	Q9MA92
AT3G05210.1	Q9MA98
AT3G01020.1	Q9MAB6
AT3G01150.1	Q9MAC5-1
AT1G53300.1	Q9MAH1
AT1G45000.1	Q9MAK9-1
AT1G01160.1	Q9MAL9-1
AT1G01030.1	Q9MAN1
AT1G32940.1	Q9MAP7
AT1G04810.1	Q9MAT0
AT1G04880.1	Q9MAT6
AT5G66130.1	Q9MBA3
AT4G01840.1	Q9S6Z8
AT3G04790.1	Q9S726
AT1G76430.1	Q9S735
AT3G15270.1	Q9S758
AT1G58080.1	Q9S762
AT3G01970.1	Q9S763
AT3G07690.1	Q9S785-2
AT3G07690.2	Q9S785-1
AT1G53160.1	Q9S7A9
AT1G53160.2	Q9S7A9
AT5G43780.1	Q9S7D8
AT1G76300.1	Q9S7E6
AT5G14580.1	Q9S7G6
AT2G04890.1	Q9S7H5
AT2G38530.1	Q9S7I3
AT4G10610.1	Q9S7N9-1
AT1G74850.1	Q9S7Q2
AT3G09030.1	Q9S7R7
AT1G73150.1	Q9S7T1
AT1G67970.1	Q9S7U5
AT3G02170.1	Q9S823
AT4G28750.1	Q9S831
AT5G43270.1	Q9S840
AT5G43270.2	Q9S840
AT5G43270.3	Q9S840
AT1G76420.1	Q9S851
AT1G22640.1	Q9S9K9
AT1G15990.1	Q9S9N5
AT1G15980.1	Q9S9N6
AT1G15960.1	Q9S9N8-1
AT1G15940.1	Q9S9P0
AT1G30530.1	Q9S9P6
AT1G30510.1	Q9S9P8-2
AT1G30510.2	Q9S9P8-1
AT1G30510.3	Q9S9P8-3
AT4G04970.1	Q9S9U0
AT4G04960.1	Q9S9U1
AT1G34650.1	Q9S9Z0
AT1G16240.1	Q9SA23-1
AT1G16240.2	Q9SA23-1
AT1G16240.4	Q9SA23-1
AT1G16280.1	Q9SA27
AT1G16510.1	Q9SA49
AT1G03130.1	Q9SA56
AT1G30610.1	Q9SA76-1
AT1G30755.1	Q9SA91
AT1G30755.5	Q9SA91
AT1G30755.6	Q9SA91
AT1G10830.1	Q9SAC0-1
AT1G10830.2	Q9SAC0-2
AT1G10730.1	Q9SAC9
AT1G13020.1	Q9SAD7
AT1G13180.1	Q9SAF1
AT1G80840.1	Q9SAH7
AT1G80820.1	Q9SAH9
AT1G80760.1	Q9SAI4
AT1G79410.1	Q9SAK7
AT1G52030.1	Q9SAV1
AT1G52030.2	Q9SAV1
AT4G08620.1	Q9SAY1
AT4G25250.1	Q9SB38
AT4G25210.1	Q9SB42
AT4G24550.2	Q9SB50-1
AT4G24630.1	Q9SB58
AT4G01660.1	Q9SBB2
AT5G10280.1	Q9SBF3
AT4G35950.1	Q9SBJ6
AT3G53230.1	Q9SCN8
AT3G50650.1	Q9SCR0
AT3G51740.1	Q9SCT4
AT5G56870.1	Q9SCV8
AT4G36360.1	Q9SCV9-1
AT4G36360.2	Q9SCV9-2
AT3G02990.1	Q9SCW5
AT5G40610.1	Q9SCX9
AT3G51490.1	Q9SD00-1
AT3G51370.1	Q9SD12-1
AT3G51370.2	Q9SD12-2
AT3G51370.3	Q9SD12-1
AT3G47060.1	Q9SD67
AT3G46970.1	Q9SD76
AT5G08020.1	Q9SD82
AT5G08000.1	Q9SD84
AT5G07990.1	Q9SD85
AT3G25900.1	Q9SDL7-1
AT4G13830.2	Q9SDN0-1
AT2G32400.1	Q9SDQ4
AT4G36800.1	Q9SDY5-1
AT4G36800.2	Q9SDY5-1
AT3G59970.1	Q9SE60-2
AT3G59970.3	Q9SE60-1
AT5G43010.1	Q9SEI3
AT5G58290.1	Q9SEI4
AT2G17650.1	Q9SEY5
AT1G69570.1	Q9SEZ3
AT1G69560.1	Q9SEZ4
AT3G11900.1	Q9SF09
AT3G11900.2	Q9SF09
AT3G11840.1	Q9SF15
AT3G11750.1	Q9SF23
AT3G09740.1	Q9SF29
AT3G09670.1	Q9SF36
AT3G09670.2	Q9SF36
AT3G09630.1	Q9SF40-1
AT3G09480.1	Q9SF55
AT3G08010.1	Q9SFB3
AT3G07960.1	Q9SFB8
AT1G21910.1	Q9SFE4
AT3G05960.1	Q9SFG0
AT3G07070.1	Q9SFT7
AT3G07270.1	Q9SFV7-1
AT1G76370.1	Q9SFX0
AT1G76400.1	Q9SFX3
AT3G10710.1	Q9SG77
AT3G10890.1	Q9SG94
AT1G08280.1	Q9SGD2
AT1G08250.1	Q9SGD6
AT1G08180.1	Q9SGE2
AT1G08170.1	Q9SGE3
AT1G72700.1	Q9SGG3
AT1G72700.2	Q9SGG3
AT1G72700.3	Q9SGG3
AT1G28380.1	Q9SGN6
AT1G28440.1	Q9SGP2
AT1G10680.1	Q9SGY1
AT1G10670.1	Q9SGY2-1
AT1G10670.2	Q9SGY2-1
AT1G10670.4	Q9SGY2-1
AT1G10620.1	Q9SGY7
AT2G07560.1	Q9SH76
AT2G40670.1	Q9SHC2-1
AT1G31330.1	Q9SHE8
At1g17060	Q9SHG5
AT1G17170.1	Q9SHH6
AT1G17190.1	Q9SHH8
AT1G17220.1	Q9SHI1
AT1G17250.1	Q9SHI4
AT1G17280.1	Q9SHI7
AT1G17280.2	Q9SHI7
AT1G17280.3	Q9SHI7
AT1G17280.5	Q9SHI7
AT1G17280.6	Q9SHI7
AT1G17280.7	Q9SHI7
AT1G17280.8	Q9SHI7
AT1G17280.9	Q9SHI7
AT1G06490.1	Q9SHJ3
AT1G06530.1	Q9SHJ6
AT2G17510.1	Q9SHL7-1
AT2G27210.1	Q9SHS7-1
AT2G27200.1	Q9SHS8
AT2G24720.1	Q9SHV1
AT2G24710.1	Q9SHV2
AT2G04300.2	Q9SI06
AT2G18160.1	Q9SI15
AT2G18150.1	Q9SI16
AT2G18140.1	Q9SI17
AT2G03890.1	Q9SI52-1
AT2G03870.1	Q9SI54
AT2G03870.2	Q9SI54
AT2G03830.1	Q9SI57
AT2G16530.1	Q9SI62-1
AT2G16530.2	Q9SI62-2
AT2G16530.4	Q9SI62-1
AT1G62760.1	Q9SI74
AT2G28720.1	Q9SI96
AT2G04040.1	Q9SIA5
AT2G28670.2	Q9SIA8-2
AT2G28590.1	Q9SIB6
AT2G31400.1	Q9SIC9
AT2G22260.1	Q9SIE0
AT2G22260.2	Q9SIE0
AT2G22260.4	Q9SIE0
AT2G22260.5	Q9SIE0
AT2G36160.1	Q9SIH0
AT2G36120.1	Q9SIH2
AT2G17200.1	Q9SII8
AT2G17190.1	Q9SII9
AT2G17180.1	Q9SIJ0
AT2G21650.1	Q9SIJ5
AT2G21590.1	Q9SIK1
AT2G21590.2	Q9SIK1
AT2G21590.3	Q9SIK1
AT2G21590.4	Q9SIK1
AT2G21590.5	Q9SIK1
AT2G21590.6	Q9SIK1
AT2G21590.7	Q9SIK1
AT2G16430.1	Q9SIV9-2
AT2G16430.2	Q9SIV9-1
AT2G16280.1	Q9SIX1
AT2G40380.1	Q9SIY7
AT2G40370.1	Q9SIY8
AT2G21870.1	Q9SJ12-1
AT2G21770.1	Q9SJ22
AT2G21750.1	Q9SJ23
AT2G21740.1	Q9SJ24
AT2G36060.1	Q9SJ44-1
AT2G36060.2	Q9SJ44-2
AT2G36060.3	Q9SJ44-3
AT2G35890.1	Q9SJ61
AT2G35890.2	Q9SJ61
AT2G04780.1	Q9SJ81
AT2G04780.2	Q9SJ81
AT2G04700.1	Q9SJ89
AT2G04700.3	Q9SJ89
AT2G04630.1	Q9SJ96
AT2G24640.1	Q9SJA1-1
AT2G24610.1	Q9SJA4
AT2G24590.1	Q9SJA6
At2g24520	Q9SJB3
AT2G04350.1	Q9SJD4
AT2G04350.2	Q9SJD4
AT2G42880.1	Q9SJG9
AT2G42790.1	Q9SJH7
AT2G42690.1	Q9SJI7-1
AT2G42680.1	Q9SJI8
AT2G27880.1	Q9SJK3
AT2G36950.1	Q9SJL2
AT2G36870.1	Q9SJL9-1
AT2G36350.1	Q9SJM3
AT2G36340.1	Q9SJM4-1
AT2G15390.1	Q9SJP2-2
AT2G15390.2	Q9SJP2-1
AT2G36570.1	Q9SJQ1
AT2G21480.1	Q9SJT0
AT2G31300.1	Q9SJW6
AT2G31180.1	Q9SJX8
AT2G22500.1	Q9SJY5
AT2G22470.1	Q9SJY7
AT2G22360.1	Q9SJZ7
AT2G24800.1	Q9SK52
AT2G24790.1	Q9SK53-1
AT2G20310.1	Q9SK71
AT1G22500.1	Q9SK92
AT2G31910.1	Q9SKA9
AT2G31840.1	Q9SKB6
AT2G31840.2	Q9SKB6
AT2G31830.1	Q9SKB7-1
AT2G31780.1	Q9SKC2-2
AT2G31770.1	Q9SKC3-1
AT2G02050.1	Q9SKC9
AT2G01930.1	Q9SKD0
AT2G01930.2	Q9SKD0
AT2G46440.1	Q9SKD6
AT2G46430.1	Q9SKD7
AT2G46430.2	Q9SKD7
At2g25540	Q9SKJ5
AT2G28380.1	Q9SKN2
AT2G21130.1	Q9SKQ0
AT2G20830.1	Q9SKT4
AT2G20830.4	Q9SKT4
At2g07680	Q9SKX0
At2g07680	Q9SKX0
At2g07680	Q9SKX0
At2g07680	Q9SKX0
AT2G43050.1	Q9SKX2
AT2G32210.1	Q9SKX9
AT2G32080.1	Q9SKZ1-1
AT2G32080.2	Q9SKZ1-2
AT2G32040.1	Q9SKZ5
AT2G05630.1	Q9SL04-1
AT2G28260.1	Q9SL29
AT2G20160.1	Q9SL65
AT2G20020.1	Q9SL79
AT2G25700.1	Q9SL93
AT2G25690.1	Q9SL94
AT2G25690.2	Q9SL94
AT2G42330.1	Q9SLC6
AT2G42330.2	Q9SLC6
AT2G42330.3	Q9SLC6
AT2G16800.1	Q9SLD9
AT2G41210.1	Q9SLG9
AT2G27050.1	Q9SLH0
AT1G54510.1	Q9SLI2
AT1G54510.2	Q9SLI2
AT1G54510.3	Q9SLI2
AT1G54510.4	Q9SLI2
AT1G54320.1	Q9SLK2
AT2G45240.1	Q9SLN5
AT3G61880.1	Q9SLP1-1
AT3G48590.1	Q9SMP0
AT3G48580.1	Q9SMP1-1
AT4G39920.1	Q9SMR2
AT4G39890.1	Q9SMR4
AT4G33230.1	Q9SMY6
AT4G18800.1	Q9SN35
AT4G18670.1	Q9SN46-1
AT3G47460.1	Q9SN90
AT3G46440.1	Q9SN95
AT3G46440.2	Q9SN95
AT3G46340.1	Q9SNA3
AT3G13890.1	Q9SPG3-1
AT3G13890.2	Q9SPG3-2
AT4G00540.1	Q9SPN3-1
AT3G24300.1	Q9SQH9
AT5G40160.1	Q9SQK3
AT3G04060.1	Q9SQQ6
AT3G04000.1	Q9SQR2
AT3G03970.1	Q9SQR5
AT3G03970.2	Q9SQR5
AT3G03970.3	Q9SQR5
AT3G03970.4	Q9SQR5
AT3G03970.5	Q9SQR5
AT3G03970.6	Q9SQR5
AT3G06380.1	Q9SQU1
AT3G06430.1	Q9SQU6
AT3G04610.1	Q9SR13
AT3G04610.2	Q9SR13
AT3G04570.1	Q9SR17
AT3G09400.1	Q9SR24-1
AT3G09290.1	Q9SR34
AT3G09150.1	Q9SR43-2
AT3G09150.2	Q9SR43-1
AT3G09940.1	Q9SR59-1
AT3G08870.1	Q9SR87
AT1G76800.1	Q9SRD3
AT1G76750.1	Q9SRD8
AT1G76650.1	Q9SRE6-1
AT1G76650.2	Q9SRE6-2
AT1G76650.3	Q9SRE6-1
AT3G01320.1	Q9SRH9-1
AT3G10960.1	Q9SRK7
AT3G11030.1	Q9SRL3
At3g11040	Q9SRL4
AT3G11050.1	Q9SRL5
AT3G03480.1	Q9SRQ2
AT3G03520.1	Q9SRQ6
AT3G03530.1	Q9SRQ7
AT3G07430.1	Q9SRS3
AT3G03740.1	Q9SRV1
AT3G03830.1	Q9SRW0
AT3G03840.1	Q9SRW1
AT1G02780.1	Q9SRX2
AT1G02810.1	Q9SRX4
AT1G02910.1	Q9SRY4
AT1G65970.1	Q9SRZ4
AT3G10270.1	Q9SS38
AT3G10340.1	Q9SS45
AT3G03670.1	Q9SS67
AT3G01680.1	Q9SS87
AT3G01530.1	Q9SSA1
At1g53780	Q9SSB4
AT1G53750.1	Q9SSB5
AT1G80100.1	Q9SSC9-1
